City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
126,Saskylakh,71.9167,114.0833,30.94,91,94,17.02,RU,2021-09-25 23:25:50
127,Atuona,-9.8,-139.0333,78.21,76,71,19.69,PF,2021-09-25 23:25:59
128,Cape Town,-33.9258,18.4232,61.27,86,40,1.99,ZA,2021-09-25 23:22:37
129,Tasiilaq,65.6145,-37.6368,37.56,63,100,9.98,GL,2021-09-25 23:26:17
130,Khatanga,71.9667,102.5,28.09,93,89,9.78,RU,2021-09-25 23:25:35
131,Maldonado,-34.6667,-54.9167,58.39,96,52,7.23,UY,2021-09-25 23:28:03
132,Bukama,-9.2,25.85,77.09,32,51,1.32,CD,2021-09-25 23:27:43
133,Vysokogornyy,50.1167,139.15,52.36,69,91,3.29,RU,2021-09-25 23:28:03
134,Bengkulu,-3.8004,102.2655,75.43,93,100,3.13,ID,2021-09-25 23:26:02
135,Hithadhoo,-0.6,73.0833,81.72,77,100,16.51,MV,2021-09-25 23:21:15
136,Faanui,-16.4833,-151.75,78.96,74,7,9.26,PF,2021-09-25 23:28:03
137,Lethem,3.3803,-59.7968,83.48,62,88,1.61,GY,2021-09-25 23:28:04
138,Ratnagiri,16.9833,73.3,76.87,88,93,1.74,IN,2021-09-25 23:28:04
139,Nuuk,64.1835,-51.7216,30.81,55,0,6.91,GL,2021-09-25 23:26:16
140,Ust-Kuyga,70.0167,135.6,32.27,94,100,6.85,RU,2021-09-25 23:28:04
141,Svetlogorsk,52.6333,29.7333,49.75,95,39,11.14,BY,2021-09-25 23:28:04
142,Akyab,20.15,92.9,78.91,88,55,6.58,MM,2021-09-25 23:26:41
143,Pisco,-13.7,-76.2167,62.65,82,0,16.11,PE,2021-09-25 23:27:20
144,Gizo,-8.103,156.8419,83.35,72,50,5.19,SB,2021-09-25 23:25:10
145,Diffa,13.3154,12.6113,85.75,20,11,1.41,NE,2021-09-25 23:27:34
146,Kodiak,57.79,-152.4072,45.91,53,75,6.91,US,2021-09-25 23:25:22
147,Ayan,56.45,138.1667,51.12,56,67,15.23,RU,2021-09-25 23:28:05
148,Jalu,29.0331,21.5482,72.14,38,1,2.91,LY,2021-09-25 23:28:05
149,Buffalo,42.8865,-78.8784,62.02,81,75,11.5,US,2021-09-25 23:27:14
